GroupName,Link,Monthly List
(G)I-DLE,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,1334398
015B,https://open.spotify.com/artist/4uU7KfTjcjyKUGWSaTzLu7,6931
05Class,None,#N/A
100% (group),https://open.spotify.com/artist/29DKnCQVGIb7uQA1RHlxIN,243
10X10,https://open.spotify.com/artist/0ATGYvt8HyUK8ydaxJybSi,1603
14U,https://open.spotify.com/artist/6Xgp2XMz1fhVYe7i6yNAax,4441964
1NB,https://open.spotify.com/artist/2Tglaf8nvDzwSQnpSrjLHP,1026009
1PS,https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM,2980926
1TEAM,https://open.spotify.com/artist/3u9xBa2fe8b9jPf5JYFRH3,62584
1THE9,https://open.spotify.com/artist/6ZZafCTzyk1yjqEES63cMm,56000
24K,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,31708087
2:00 AM,https://open.spotify.com/artist/6MxlVTY6PmY8Nyn16fvxtb,465244
2EYES,https://open.spotify.com/artist/4LJbolSjae2xrHVYL5WrAl,8531
2NE1,https://open.spotify.com/artist/1l0mKo96Jh9HVYONcRl3Yp,1396526
2:00 PM,https://open.spotify.com/artist/5iRPbkcPmqAFFwDUj6ywVS,353223
2Z,https://open.spotify.com/artist/3XQ81u1a60R7egDWLKzV88,75917
365 Practice,https://open.spotify.com/artist/1MQgYLAO9HZMrimJrbuzbH,4
3RACHA,,#VALUE!
3YE,https://open.spotify.com/artist/65SWpUO42tdFbEhdfj1ryf,16723
4CARAT,https://open.spotify.com/artist/5v2WhpA59TJSdPh7LCx1lN,371816
4G,https://open.spotify.com/artist/6NnBBumbcMYsaPTHFhPtXD,5598
4K,https://open.spotify.com/artist/2oQX8QiMXOyuqbcZEFsZfm,855385
4L,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,7686525
4minute,https://open.spotify.com/artist/6cdC1cwqh3eJAXaxXJt2jv,743575
4SOME,https://open.spotify.com/artist/5JJHnW1bhWbA3Slljbdktc,575
4TEN,https://open.spotify.com/artist/6XTJcgSOtX7zGavi7EOazp,20903
4Tomorrow,,#VALUE!
5tion,https://open.spotify.com/artist/6MJCgDOw7EfTJJtKPHXAcD,946
5URPRISE,https://open.spotify.com/artist/5q9BdeESGfyu6iVrGPhhj3,13221
8eight,https://open.spotify.com/artist/5fp3IPvTlnkqI5NvRnwldJ,235
9MUSES,https://open.spotify.com/artist/55tJwpPIz9BMrSLM45iEXX,130114
9MUSES A,https://open.spotify.com/artist/55tJwpPIz9BMrSLM45iEXX,130114
A Train to Autumn,https://open.spotify.com/artist/4uMb1GcepxsnkkShyKYl0c,1807
A-Daily,https://open.spotify.com/artist/689wBe4v9rvHjdNB4JUgYq,36392
A-Fati,https://open.spotify.com/artist/0GMCy1BfX72anlUA49ThsM,0
A-Feel,https://open.spotify.com/artist/29kkCKKGXheHuoO829FxWK,1364747
A-JAX,https://open.spotify.com/artist/4Q6nIcaBED8qUel8bBx6Cr,716297
A-Plus,https://open.spotify.com/artist/7o6cOczXTB8ioTAAJTbESf,242179
