index,groupname,url,page
1,SuperM,https://vignette.wikia.nocookie.net/kpop/images/2/2c/SuperM_Let%27s_Go_Everywhere_promo_photo_1.png/revision/latest?cb=20191119001756,https://kpop.fandom.com/wiki/SuperM
2,TOO,https://vignette.wikia.nocookie.net/kpop/images/6/64/TOO_Reason_for_Being_Benevolence_group_concept_photo.png/revision/latest?cb=20200321075510,https://kpop.fandom.com/wiki/TOO
3,MYname,https://img1.kpopmap.com/2018/04/my-name-members-kpop-profile-facts1.jpg,https://kpop.fandom.com/wiki/MYname
4,TREASURE,https://vignette.wikia.nocookie.net/kpop/images/8/89/TREASURE_Editorial_Vol.2_group_profile_photo_%281%29.png/revision/latest?cb=20200202064608,https://kpop.fandom.com/wiki/TREASURE
5,Miss_A,https://vignette.wikia.nocookie.net/kpop/images/c/c9/Miss_A_Colors_group_photo_1.png/revision/latest?cb=20150914081726,https://kpop.fandom.com/wiki/Miss_A
6,EVERGLOW,https://vignette.wikia.nocookie.net/kpop/images/4/42/EVERGLOW_Reminiscence_group_concept_photo_3.png/revision/latest?cb=20200121153650,https://kpop.fandom.com/wiki/EVERGLOW
7,CIX,https://vignette.wikia.nocookie.net/kpop/images/f/f5/CIX_Revival_concept_photo_1.png/revision/latest?cb=20200405202724,https://kpop.fandom.com/wiki/CIX
8,MyB,https://vignette.wikia.nocookie.net/kpop/images/5/50/MyB_DDODDO_promotional_photo.png/revision/latest?cb=20161027151507,https://kpop.fandom.com/wiki/MyB
9,BDC,https://vignette.wikia.nocookie.net/kpop/images/9/97/BDC_Boys_Da_Capo_concept_photo_1.png/revision/latest?cb=20191023221018,https://kpop.fandom.com/wiki/BDC
10,Fx,https://vignette.wikia.nocookie.net/kpop/images/2/21/F%28x%29_Cowboy_promotional_photo.png/revision/latest?cb=20160924184856,https://kpop.fandom.com/wiki/Fx
