groupname,num
SuperM,7
TOO,10
MYname,5
TREASURE,13
Miss_A,4
EVERGLOW,6
CIX,5
MyB,6
BDC,3
Fx,5
BLANC7,7
ONF,7
CAMILA,4
BLACKPINK,4
Bling,8
SATURDAY,8
LPG,19
ASTRO,6
Ramisu,2
Underdog,15
BECZ,4
Seven_O_27clock,8
TST,7
IZ,4
OAHSIS,5
BEBE6,7
RaNia,20
Lusty,5
S.I.S,6
BIGBANG,5
GLAM,5
GOT7,7
DESTINY,4
BaBa,17
Red_Velvet,5
PARADISE,6
1PS,3
CRAXY,7
MATILDA,4
GIRLS_GIRLS,4
SIOSIJAK,9
Stellar,8
UNVS,8
I-REX,5
Alice_White,5
BESTie,4
Nep,4
HIGHTEEN,5
YDPP,4
Dreamcatcher,2
